Rodada;Time Mandante;Gols Mandante;Gols Visitante;Time Visitante
1;Avai;4;2;Oeste
2;CSA;0;2;Botafogo - SP
3;Nautico;4;2;Guarani
4;Confiança;1;2;Figueirense
5;Sampaio Correa;5;0;Cruzeiro
6;Nautico;1;4;Botafogo - SP
7;Oeste;2;4;Figueirense
8;Avai;4;5;Cruzeiro
9;CSA;4;2;Confiança
10;Sampaio Correa;2;2;Guarani
11;Oeste;2;3;Cruzeiro
12;Nautico;0;1;CSA
13;Sampaio Correa;2;4;Botafogo - SP
14;Avai;0;1;Confiança
15;Guarani;4;4;Figueirense
16;CSA;1;1;Cruzeiro
17;Oeste;4;5;Guarani
18;Nautico;3;3;Sampaio Correa
19;Avai;5;0;Figueirense
20;Confiança;5;5;Botafogo - SP
21;Nautico;3;2;Cruzeiro
22;CSA;0;1;Figueirense
23;Avai;1;4;Sampaio Correa
24;Confiança;5;4;Guarani
25;Oeste;0;2;Botafogo - SP
26;Cruzeiro;2;1;Guarani
27;Oeste;0;3;CSA
28;Confiança;1;3;Sampaio Correa
29;Botafogo - SP;0;0;Figueirense
30;Nautico;5;5;Avai
31;Confiança;4;3;Cruzeiro
32;Avai;2;0;CSA
33;Nautico;2;0;Oeste
34;Botafogo - SP;0;3;Guarani
35;Sampaio Correa;5;1;Figueirense
36;Botafogo - SP;1;1;Cruzeiro
37;CSA;1;2;Sampaio Correa
38;Oeste;2;4;Confiança
39;Avai;4;4;Guarani
40;Nautico;0;1;Figueirense
41;Cruzeiro;5;0;Figueirense
42;Oeste;0;3;Sampaio Correa
43;Nautico;1;5;Confiança
44;Avai;0;4;Botafogo - SP
45;CSA;4;1;Guarani
46;Confiança;0;4;Oeste
47;Botafogo - SP;3;3;CSA
48;Guarani;5;5;Nautico
49;Cruzeiro;4;0;Avai
50;Figueirense;4;1;Sampaio Correa
51;CSA;1;5;Oeste
52;Guarani;3;1;Botafogo - SP
53;Cruzeiro;5;5;Nautico
54;Figueirense;5;4;Confiança
55;Sampaio Correa;2;4;Avai
56;Sampaio Correa;2;1;CSA
57;Cruzeiro;4;5;Oeste
58;Guarani;0;0;Confiança
59;Figueirense;0;4;Botafogo - SP
60;Avai;5;0;Nautico
61;Figueirense;0;1;Oeste
62;Confiança;5;2;CSA
63;Sampaio Correa;4;4;Nautico
64;Cruzeiro;3;1;Botafogo - SP
65;Guarani;2;4;Avai
66;CSA;3;3;Avai
67;Botafogo - SP;2;0;Oeste
68;Cruzeiro;4;0;Confiança
69;Figueirense;5;1;Nautico
70;Guarani;5;1;Sampaio Correa
71;Oeste;0;2;Nautico
72;Sampaio Correa;2;5;Confiança
73;Botafogo - SP;3;3;Avai
74;Guarani;4;1;Cruzeiro
75;Figueirense;4;1;CSA
76;Oeste;2;5;Avai
77;Botafogo - SP;2;2;Sampaio Correa
78;Figueirense;0;2;Guarani
79;Cruzeiro;2;1;CSA
80;Confiança;1;2;Nautico
81;Sampaio Correa;4;5;Oeste
82;Confiança;5;0;Avai
83;Botafogo - SP;3;2;Nautico
84;Figueirense;1;1;Cruzeiro
85;Guarani;2;2;CSA
86;Guarani;3;0;Oeste
87;Botafogo - SP;0;0;Confiança
88;Cruzeiro;5;5;Sampaio Correa
89;CSA;4;3;Nautico
90;Figueirense;5;5;Avai
